Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
Mercedes-Benz E-Class E 220 d,Kochi,2018,26405,Petrol,Automatic,First,12.6,1950.0,191.34,5,8697000,5143000
Maruti Wagon R LXI,Ahmedabad,2012,30000,Petrol,Manual,First,22.5,998.0,67.04,5,474000,330000
Hyundai Creta 1.6 SX,Chennai,2016,69434,Petrol,Manual,First,15.8,1591.0,121.3,5,1484000,800000
Mercedes-Benz New C-Class Progressive C 200,Kochi,2019,13190,Petrol,Automatic,First,0.0,1950.0,181.43,5,4949000,3899000
BMW X1 sDrive 20d xLine,Coimbatore,2017,31645,Diesel,Automatic,First,20.68,1995.0,190.0,5,4818000,2940000
Maruti Ertiga ZDI,Pune,2013,105000,Diesel,Manual,Second,25.47,1248.0,88.5,7,1234000,675000
Skoda Rapid 1.5 TDI Style,Hyderabad,2017,31000,Diesel,Manual,First,21.13,1498.0,108.4,5,1538000,1050000
Toyota Innova Crysta 2.8 GX AT,Ahmedabad,2016,100200,Diesel,Automatic,First,11.36,2755.0,171.5,7,1921000,1700000
Jeep Compass 2.0 Limited,Jaipur,2018,29000,Diesel,Manual,First,17.1,1956.0,170.0,5,2295000,1900000
Mahindra Bolero ZLX,Jaipur,2012,105000,Diesel,Manual,Second,15.96,2523.0,62.1,7,1115000,600000
Volkswagen Polo 1.5 TDI Highline,Coimbatore,2018,33558,Diesel,Manual,First,20.14,1498.0,88.0,5,1032000,811999
Toyota Innova Crysta 2.8 ZX AT,Coimbatore,2019,40674,Diesel,Automatic,First,11.36,2755.0,171.5,7,2805000,2482000
Mercedes-Benz GLC 220d 4MATIC Style,Mumbai,2018,10003,Diesel,Automatic,First,17.9,2143.0,170.0,5,5977000,4850000
Volkswagen Vento 1.5 TDI Highline AT,Mumbai,2016,25000,Diesel,Automatic,First,21.5,1498.0,108.5,5,1586000,944999
Toyota Innova Crysta 2.4 GX MT 8S,Hyderabad,2017,52000,Diesel,Manual,First,13.68,2393.0,147.8,8,1943000,1750000
Maruti Vitara Brezza ZDi,Pune,2016,21558,Diesel,Manual,First,24.3,1248.0,88.5,5,1065000,890000
Mini Cooper 5 DOOR D,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496.0,113.98,5,4212000,2950000
Tata Safari Storme VX Varicor 400,Jaipur,2017,37000,Diesel,Manual,First,14.1,2179.0,154.0,7,1695000,1125000
Honda BR-V i-DTEC VX MT,Kochi,2017,32249,Diesel,Manual,First,21.9,1498.0,98.6,7,1545000,1079000
Maruti Ignis 1.2 Alpha,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197.0,81.8,5,787000,570000
Maruti Alto K10 VXI,Bangalore,2011,64357,Petrol,Manual,First,24.07,998.0,67.1,5,470000,275000
Honda BRV i-VTEC V CVT,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7,1502000,925000
Maruti Vitara Brezza ZDi Plus Dual Tone,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5,1256000,1131000
Nissan Sunny XV CVT,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5,1133000,543000
Toyota Innova Crysta 2.4 ZX MT,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7,2645000,1875000
Maruti Dzire AMT ZXI Plus,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5,1034000,850000
Hyundai Grand i10 1.2 CRDi Magna,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5,746000,490000
Honda City i-VTEC V,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5,1185000,570000
Maruti Ertiga VDI,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7,1041000,775000
Maruti Celerio VXI AMT,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5,557000,320000
Mini Cooper 5 DOOR D,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5,4248000,2350000
Honda City i-VTEC CVT VX,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5,1604000,1065000
Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5,910000,846000
Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5,765000,250000
Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5,1374000,1090000
Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5,572000,432000
Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7,2133000,1763000
Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5,7876000,5600000
Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5,1034000,850000
Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5,429000,229999
Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5,1003999,645000
Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7,1167000,750000
Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7,2552000,1860000
Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5,856000,590000
Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7,2700000,1992000
Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5,478000,325000
Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5,614000,500000
Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5,730000,270000
Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7,799.0,53.64,5,437000,266000
Maruti Eeco 7 Seater Standard,Coimbatore,2012,56661,Petrol,Manual,First,15.1,1196.0,73.0,7,498000,361000
Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18.0,1497.0,117.3,5,1529000,865000
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956.0,170.0,5,2426000,2000000
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999.0,177.0,5,7512000,5972000
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248.0,74.0,5,952999,650000
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477.0,175.56,7,3460000,1249000
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393.0,147.8,7,2645000,1839000
Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498.0,98.6,5,1115000,621000
Mercedes-Benz C-Class Progressive C 220d,Mumbai,2018,8682,Diesel,Automatic,First,0.0,1950.0,194.0,5,5226000,3950000
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995.0,190.0,5,7043000,1750000
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799.0,53.3,5,480000,445000
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23.0,1498.0,98.96,5,1212000,1165000
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393.0,147.8,7,1937000,1650000
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498.0,108.5,5,1214000,539000
Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755.0,174.5,7,3669000,1328000
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16.0,1368.0,160.0,5,2368000,1775000
Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968.0,187.74,5,5561000,2500000
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497.0,121.36,5,1410000,1241000
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248.0,88.5,5,1326000,794000
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755.0,171.5,7,2805000,2050000
Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248.0,88.5,7,1127000,700000
Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248.0,88.5,5,1120000,1049000
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193.0,88.7,5,856000,395000
Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248.0,88.5,5,946000,650000
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20.0,1497.0,115.0,5,1279000,725000
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22.0,1582.0,126.2,5,1557000,601000
Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6,2179.0,153.86,7,1986000,1200000
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199.0,84.0,5,659000,588000
Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950.0,191.34,5,8697000,5135000
Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496.0,113.98,5,4212000,2200000
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9,1197.0,81.86,5,654000,500000
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755.0,171.5,7,2656000,1975000
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461.0,108.45,5,1505000,1144000
Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523.0,62.1,7,1101000,350000
Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248.0,88.5,5,1100000,1046000
Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5,1199.0,88.76,5,755000,568000
Hyundai Grand i10 1.2 Kappa Asta,Hyderabad,2017,20000,Petrol,Manual,First,18.9,1197.0,81.86,5,782000,598000
Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,50234,Petrol,Manual,First,18.9,1197.0,81.86,5,632000,476999
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2015,40600,Petrol,Automatic,First,17.0,1591.0,121.3,5,1514000,720000
Hyundai Verna CRDi 1.6 AT SX Option,Ahmedabad,2013,87000,Diesel,Automatic,First,22.0,1582.0,126.2,5,1572000,590000
Volvo S60 D4 Momentum,Hyderabad,2015,51000,Diesel,Automatic,First,27.03,1969.0,190.0,5,4567000,2500000
BMW 3 Series 320d Luxury Line,Chennai,2012,65000,Diesel,Automatic,First,22.69,1995.0,190.0,5,5470000,1400000
Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393.0,147.8,7,2287000,2039999
Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,Petrol,Manual,First,18.78,999.0,75.0,5,674000,568000
Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,Diesel,Manual,First,13.5,2477.0,175.56,7,3309000,1275000
Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,Petrol,Automatic,First,14.28,1798.0,138.03,5,2325000,1800000
Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,Diesel,Manual,First,21.43,1364.0,86.79,5,1927000,650000
Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,Diesel,Automatic,First,13.6,1999.0,177.0,5,5277000,4000000
Mahindra Xylo D4,Chennai,2016,85000,Diesel,Manual,First,14.95,2489.0,93.7,7,1167000,615000
Maruti Swift VDI,Kochi,2017,34613,Diesel,Manual,First,28.4,1248.0,74.0,5,792000,624000
Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,Petrol,Manual,First,20.14,1197.0,81.86,5,785000,550000
Honda City i-VTEC CVT VX,Kochi,2018,22974,Petrol,Automatic,First,18.0,1497.0,117.3,5,1555000,1197000
Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,Diesel,Manual,First,14.24,2755.0,174.5,7,3245000,1889999
Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.1,1196.0,73.0,7,483000,295000
Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248.0,74.0,5,713000,525000
BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995.0,190.0,5,7181999,2468000
BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995.0,190.0,5,5097000,2950000
Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396.0,88.76,5,1073000,190000
Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248.0,75.0,5,950000,250000
BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995.0,190.0,5,5246000,1395000
Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197.0,81.8,5,607000,606000
Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998.0,67.1,5,433000,360000
Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197.0,81.86,5,863000,755000
Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9,1197.0,81.86,5,668000,617000
Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582.0,126.2,5,1407000,250000
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461.0,108.45,5,1505000,1150000
Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197.0,81.86,5,798000,620000
Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755.0,171.5,7,2482000,1549000
Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193.0,88.7,5,763000,400000
Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393.0,147.8,7,2286000,1992000
Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497.0,121.36,5,1106000,919999
Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998.0,67.1,5,453000,350000
Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798.0,138.03,5,1939000,450000
Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999.0,149.92,5,2177000,1635000
Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582.0,126.2,5,1835000,1250000
Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498.0,108.62,5,919000,580000
Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193.0,88.7,5,809000,500000
Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798.0,138.03,5,2325000,1748999
Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248.0,73.75,5,1152000,915000
Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23.0,1498.0,98.96,5,1323000,770000
Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248.0,88.7,5,1006000,669000
Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498.0,108.4,5,1534000,1050000
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393.0,147.8,8,2401000,2255000
Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498.0,105.0,6,1139000,925000
Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498.0,99.0,5,978999,729000
Mini Cooper 3 DOOR D,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496.0,113.98,4,3500000,2350000
Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03,1461.0,65.0,5,926000,310000
Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0,1198.0,73.75,5,868000,723000
Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999.0,148.31,7,6639000,4150000
Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968.0,141.0,5,3645000,2490000
Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967.0,245.0,7,9138000,7294000
Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523.0,62.1,7,1115000,550000
BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995.0,190.0,5,5097000,3029000
Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999.0,177.0,5,5341000,3800000
Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5,998.0,67.04,5,459000,274000
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9,1197.0,81.86,5,654000,490000
Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998.0,67.1,5,470000,322000
